 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Middle East & North Africa (developing only),3.6,3.6,3.6,3.8,3.8,3.9,3.9,..,..,..
Middle income,2.6,2.8,2.9,3,3.1,3.2,3.4,..,..,..
North America,19.4,18.9,19,18.3,17,17.2,16.7,..,..,..
Not classified,..,..,..,..,..,..,..,..,..,..
OECD members,11,10.9,10.9,10.6,9.9,10.1,9.9,..,..,..
Other small states,1.4,1.4,1.4,1.5,1.4,1.5,1.5,..,..,..
Pacific island small states,1.1,1.1,1.1,1,0.9,1.1,1.1,..,..,..
Small states,2.9,3.6,3.7,3.6,3.4,3.5,3.5,..,..,..
South Asia,1.1,1.1,1.2,1.3,1.4,1.3,1.4,..,..,..
Sub-Saharan Africa (all income levels),0.8,0.8,0.9,0.9,0.8,0.8,0.8,..,..,..
Sub-Saharan Africa (developing only),0.8,0.8,0.8,0.9,0.8,0.8,0.8,..,..,..
Upper middle income,4.2,4.5,4.7,4.8,5.1,5.4,5.7,..,..,..
World,4.5,4.6,4.7,4.7,4.7,4.8,4.9,..,..,..
"Created from: World Development IndicatorsSeries : GDP at market prices (current US$)",,,,,,,,,,
