Participant,Action,Date of Notification/Deposit,Date of Effect
Portugal,Objection,04/03/2002, 
Portugal,Objection,04/03/2002, 
Portugal,Objection,26/10/1994, 
Portugal,Declaration,15/05/1996, 
Portugal,Objection,23/07/1997, 
Portugal,Objection,14/08/1997, 
Portugal,Objection,18/07/2001, 
Portugal,Communication,10/05/2010, 
Portugal,Ratification,30/07/1980,03/09/1981
Qatar,Accession,29/04/2009,29/05/2009
Republic of Korea,Signature,25/05/1983, 
Republic of Korea,Withdrawal of reservation,15/03/1991,15/03/1991
Republic of Korea,Withdrawal of reservation,24/08/1999,24/08/1999
Republic of Korea,Ratification,27/12/1984,26/01/1985
Republic of Moldova,Accession,01/07/1994,31/07/1994
Romania,Objection,03/12/2003, 
Romania,Objection,08/02/2007, 
Romania,Objection,08/02/2007, 
Romania,Signature,04/09/1980, 
Romania,Objection,14/04/2010, 
Romania,Withdrawal of reservation,02/04/1997,02/04/1997
Romania,Ratification,07/01/1982,06/02/1982
Rwanda,Signature,01/05/1980, 
Rwanda,Ratification,02/03/1981,03/09/1981
Samoa,Accession,25/09/1992,25/10/1992
San Marino,Signature,26/09/2003, 
San Marino,Ratification,10/12/2003,09/01/2004
Sao Tome and Principe,Signature,31/10/1995, 
Sao Tome and Principe,Ratification,03/06/2003,03/07/2003
Saudi Arabia,Signature,07/09/2000, 
Saudi Arabia,Ratification,07/09/2000,07/10/2000
Senegal,Signature,29/07/1980, 
Senegal,Ratification,05/02/1985,07/03/1985
Seychelles,Accession,05/05/1992,04/06/1992
Sierra Leone,Signature,21/09/1988, 
Sierra Leone,Ratification,11/11/1988,11/12/1988
Singapore,Partial withdrawal of reservation,15/10/2015, 
Singapore,Accession,05/10/1995,04/11/1995
Singapore,Partial withdrawal of reservation,24/07/2007,24/07/2007
Singapore,Partial withdrawal of reservation,30/06/2011,30/06/2011
Slovakia,Objection,28/07/2009, 
Slovakia,Succession,28/05/1993, 
Slovakia,Objection,27/02/2007, 
Slovakia,Objection,11/05/2007, 
Slovenia,Succession,06/07/1992,25/06/1991
Solomon Islands,Accession,06/05/2002,05/06/2002
South Africa,Signature,29/01/1993, 
South Africa,Ratification,15/12/1995,14/01/1996
South Sudan,Accession,30/04/2015,30/05/2015
Spain,Objection,13/11/2009, 
Spain,Objection,22/02/2001, 
Spain,Objection,31/07/2003, 
Spain,Objection,05/07/2001, 
Spain,Objection,13/06/2007, 
Spain,Objection,23/02/2007, 
Spain,Objection,06/10/2005, 
Spain,Signature,17/07/1980, 
Spain,Ratification,05/01/1984,04/02/1984
Sri Lanka,Signature,17/07/1980, 
Sri Lanka,Ratification,05/10/1981,04/11/1981
St. Christopher and Nevis,Accession,25/04/1985,25/05/1985
St. Lucia,Accession,08/10/1982,07/11/1982
St. Vincent and the Grenadines,Accession,04/08/1981,03/09/1981
State of Palestine,Communication,06/06/2014, 
State of Palestine,Communication,06/06/2014, 
State of Palestine,Accession,02/04/2014,02/05/2014
Suriname,Accession,01/03/1993,31/03/1993
Swaziland,Accession,26/03/2004,25/04/2004
Sweden,Objection,11/07/2003, 
Sweden,Objection,27/11/2002, 
Sweden,Objection,25/07/2001, 
Sweden,Objection,30/03/2001, 
Sweden,Objection,21/01/2002, 
Sweden,Objection,05/10/2005, 
Sweden,Objection,25/08/2005, 
Sweden,Objection,06/02/2007, 
Sweden,Objection,12/02/2007, 
Sweden,Objection,05/02/1993, 
Sweden,Objection,26/10/1994, 
Sweden,Objection,27/04/2000, 
Sweden,Objection,13/08/1997, 
Sweden,Objection,04/08/1997, 
Sweden,Objection,27/01/1998, 
Sweden,Objection,17/01/1996, 
Sweden,Notification,25/10/1996, 
Sweden,Signature,07/03/1980, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,17/03/1986, 
Sweden,Objection,15/04/1988, 
Sweden,Objection,25/05/1990, 
Sweden,Objection,12/03/1987, 
Sweden,Objection,07/05/2010, 
Sweden,Ratification,02/07/1980,03/09/1981
Switzerland,Signature,23/01/1987, 
Switzerland,Withdrawal of reservation,29/04/2004, 
Switzerland,Withdrawal of reservation,30/10/2013, 
Switzerland,Ratification,27/03/1997,26/04/1997
Syrian Arab Republic,Accession,28/03/2003,27/04/2003
Tajikistan,Accession,26/10/1993,25/11/1993
Thailand,Withdrawal of reservation,26/10/1992, 
Thailand,Partial withdrawal of reservation,18/07/2012, 
Thailand,Partial withdrawal of reservation and declaration,01/08/1996,01/08/1996
Thailand,Accession,09/08/1985,08/09/1985
Thailand,Withdrawal of reservation,25/01/1991,25/01/1991
The former Yugoslav Republic of Macedonia,Succession,18/01/1994,17/11/1991
Timor-Leste,Accession,16/04/2003,16/05/2003
Togo,Accession,26/09/1983,26/10/1983
Trinidad and Tobago,Signature,27/06/1985, 
Trinidad and Tobago,Ratification,12/01/1990,11/02/1990
Tunisia,Signature,24/07/1980, 
Tunisia,Partial withdrawal of declaration and withdrawal of reservations,17/04/2014, 
Tunisia,Ratification,20/09/1985,20/10/1985
Turkey,Withdrawal of declaration,29/01/2008, 
Turkey,Accession,20/12/1985,19/01/1986
Turkey,Partial withdrawal of reservation and declaration,20/09/1999,20/09/1999
Turkmenistan,Accession,01/05/1997,31/05/1997
Tuvalu,Accession,06/10/1999,05/11/1999
Uganda,Signature,30/07/1980, 
Uganda,Ratification,22/07/1985,21/08/1985
Ukrainian Soviet Socialist Republic,Signature,17/07/1980, 
Ukrainian Soviet Socialist Republic,Ratification,12/03/1981,03/09/1981
Ukrainian Soviet Socialist Republic,Withdrawal of reservation,20/04/1989,20/04/1989
Union of Soviet Socialist Republics,Objection,15/04/1986, 
Union of Soviet Socialist Republics,Signature,17/07/1980, 
Union of Soviet Socialist Republics,Ratification,23/01/1981,03/09/1981
Union of Soviet Socialist Republics,Withdrawal of reservation,08/03/1989,08/03/1989
United Arab Emirates,Accession,06/10/2004,05/11/2004
United Kingdom of Great Britain and Northern Ireland,Objection,17/08/2005, 
United Kingdom of Great Britain and Northern Ireland,Objection,17/08/2005, 
United Kingdom of Great Britain and Northern Ireland,Objection,28/02/2007, 
United Kingdom of Great Britain and Northern Ireland,Objection,14/06/2007, 
United Kingdom of Great Britain and Northern Ireland,Objection,26/06/2003, 
United Kingdom of Great Britain and Northern Ireland,Objection,26/06/2003, 
United Kingdom of Great Britain and Northern Ireland,Objection,28/11/2001, 
United Kingdom of Great Britain and Northern Ireland,Objection,05/03/2002, 
United Kingdom of Great Britain and Northern Ireland,Objection,06/09/2001, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,14/10/1996, 
United Kingdom of Great Britain and Northern Ireland,Declaration,27/11/1989, 
United Kingdom of Great Britain and Northern Ireland,Declaration,20/03/1987, 
United Kingdom of Great Britain and Northern Ireland,Modification,06/06/2005, 
United Kingdom of Great Britain and Northern Ireland,Signature,22/07/1981, 
United Kingdom of Great Britain and Northern Ireland,Withdrawal of reservation,04/01/1995,04/01/1995
United Kingdom of Great Britain and Northern Ireland,Ratification,07/04/1986,07/05/1986
United Kingdom of Great Britain and Northern Ireland,Withdrawal of reservation,22/03/1996,22/03/1996
United Kingdom of Great Britain and Northern Ireland,Partial withdrawal of reservation,24/07/2007,24/07/2007
United Republic of Tanzania,Signature,17/07/1980, 
United Republic of Tanzania,Ratification,20/08/1985,19/09/1985
United States of America,Declaration,20/03/1987, 
United States of America,Signature,17/07/1980, 
Uruguay,Signature,30/03/1981, 
Uruguay,Ratification,09/10/1981,08/11/1981
Uzbekistan,Accession,19/07/1995,18/08/1995
Vanuatu,Accession,08/09/1995,08/10/1995
Venezuela,Signature,17/07/1980, 
Venezuela,Ratification,02/05/1983,01/06/1983
Viet Nam,Signature,29/07/1980, 
Viet Nam,Ratification,17/02/1982,19/03/1982
Yugoslavia,Succession,12/03/2001,27/04/1992
Yugoslavia (Socialist Federal Republic of),Signature,17/07/1980, 
