 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Middle East & North Africa (developing only),303699745,309000732,314432844,320005139,325689241,331456852,337638042,344052017,350649177,357312867
Middle income,4704100603,4762873389,4820878342,4879185040,4938196371,4997686799,5057760174,5117464518,5178449842,5239940034
North America,327892753,331014940,334184023,337405012,340465736,343417455,346128976,348931188,351720836,354462656
Not classified,..,..,..,..,..,..,..,..,..,..
OECD members,1197067844,1205835689,1214903493,1224451293,1233248856,1241509682,1249249082,1255298168,1263178643,1271344548
Other small states,17729671,18032304,18348838,18675657,18998854,19347061,19743240,20130977,20531614,20937164
Pacific island small states,2061473,2087081,2114575,2143352,2172519,2201396,2229806,2257903,2285709,2313337
Small states,26432060,26800616,27187000,27586287,27982586,28403026,28869743,29325988,29793142,30264056
South Asia,1511135613,1535287611,1559056624,1582576481,1605926788,1629223562,1652487921,1674923307,1697997032,1721020580
Sub-Saharan Africa (all income levels),762555740,783427658,805010175,827287676,850225069,873800152,898002051,922840423,948287652,974315323
Sub-Saharan Africa (developing only),761846974,782697340,804259344,826514497,849430616,872981672,897163692,921978391,947400670,973402912
Upper middle income,2199085045,2217203592,2234479473,2251867519,2269768150,2287713124,2305583816,2323762195,2342185356,2360827833
World,6514603324,6595442749,6676522231,6758952701,6841568979,6924282937,7007470801,7089309348,7174521359,7260710677
"Created from: World Development IndicatorsSeries : GDP at market prices (current US$)",,,,,,,,,,
